Gene Name,log2FoldChange,Annotation
KLF10,-4.98319464296039e-06,Promoter
GRIN2D,-1.16601074100099e-07,Intron
EP400,2.191142201104e-05,Promoter
RAI1,1.03282669971296e-05,Intron
LENG8,1.46997772465827e-07,Promoter
SMG9,4.57612150022552e-06,Promoter
HNRNPF,-7.88235432577007e-06,Promoter
GPC1,5.17784583427477e-06,Promoter
MED31,2.01420655647909e-05,Promoter
SEC61B,2.39985772888343e-05,Promoter
DAAM1,2.74749845170243e-07,Promoter
MYO5A,-3.68540637003785e-06,Promoter
MAP3K14,1.42080502624264e-06,Intergenic
TOP3A,-3.58075773040317e-06,Promoter
COL7A1,4.07647732677486e-05,Promoter
AGRN,-4.49013675239719e-06,Promoter
ITGA5,6.49371467932023e-06,Intron
IDI1,-2.25837033585439e-05,Intron
EIF4G1,-1.92916414571656e-05,Promoter
SUMO2,-6.25733290221298e-06,Promoter
CORO2A,-7.36460165854289e-06,Promoter
PUM3,-4.21280340582319e-05,Promoter
ATP1B3,-2.3553778582166e-05,Promoter
ZC3H12C,2.12992115576366e-06,Promoter
AHCTF1,-2.1087627599396e-06,Promoter
DNAJC14,-1.83948586400884e-05,Promoter
CMTR2,-5.57401855520105e-06,Promoter
UFSP1,1.09128788570849e-06,Promoter
MCCC2,1.09965894127753e-05,Promoter
TMEM126B,5.51441964509201e-05,Promoter
GLB1,1.69158624158193e-06,Promoter
PHC2,9.36609967654239e-06,Promoter
FOSL2,2.6788951104199e-05,Promoter
HECTD4,1.59300317442296e-05,Promoter
ISOC1,4.77952104019556e-06,Promoter
ZNF668,-1.83751783382278e-06,Promoter
RDH13,2.92289282452591e-06,Promoter
KDELR2,-1.12605780330514e-05,Intron
MRRF,-1.04708041218452e-05,Promoter
MSANTD4,-7.10409884101965e-06,Promoter
ZNF324B,9.56629201575785e-07,Intron
YTHDF3,-4.32795340789659e-06,Promoter
SPOCK3,2.90219801689854e-06,Intergenic
RINT1,-3.06633863672705e-06,Promoter
VARS2,-6.39774479133293e-08,Promoter
CCDC6,-1.16668892216538e-05,Promoter
RPGR,4.62609037342057e-08,Promoter
RBMS1,1.46567308235942e-05,Intron
CHRFAM7A,1.45078834350357e-06,Promoter
MIR4470,-2.31905654028156e-07,Intergenic
ITPK1,-2.00977522736332e-05,Intron
UBTD2,-5.9545356942768e-06,Promoter
ZNRF3,-3.56796115568484e-06,Promoter
KDM8,1.77458361495184e-06,Promoter
ST6GALNAC2,-5.683880660003411e-10,Promoter
RABL2B,-2.90035922649898e-06,Promoter
PI4KB,-8.33366640628294e-06,Promoter
POU2F2,1.5904585855731e-06,Intron
MXD3,3.88239208000927e-06,Promoter
CDCA8,1.43459083956416e-06,Promoter
DAZAP1,2.42649140347295e-06,Promoter
GRAMD1B,-1.67879846839619e-05,Intron
BAG5,-2.9539048452261e-06,Promoter
SBNO2,1.52196927892034e-05,Intergenic
SP6,1.27217046679096e-06,Promoter
ULBP3,3.25969452880334e-06,Promoter
MORN4,1.27576607612435e-06,Promoter
ENDOG,-1.91901687665169e-06,Promoter
KDM1B,-1.35149936925428e-06,Promoter
ST3GAL1,7.75978422987491e-07,Promoter
SLC25A37,1.81544900895008e-05,Intron
UNC93B1,2.66574193308961e-06,Intron
PPP1R12C,-4.3039725517766e-05,Promoter
ZNF778,-2.07474434020358e-06,Intergenic
ABCC1,-1.71613637301913e-06,Intron
PRRT3-AS1,1.80227796330763e-06,Promoter
LPIN3,6.27412798605784e-06,Promoter
RAB18,-2.0137658135411e-05,Promoter
NOP14,5.63063390391095e-06,Promoter
ZFYVE16,3.52139648662893e-05,Promoter
FSD1L,2.1074494469272e-06,Promoter
TADA2A,-5.00617310748012e-06,Promoter
ANAPC11,-4.5004848987147e-05,Promoter
TSPAN31,-9.78271223900439e-06,Promoter
ZNF592,1.8001092469554e-05,Promoter
GIPC1,-3.39960826137743e-06,Intergenic
WDR1,-2.09727376021541e-05,Promoter
BBS4,5.47994327758861e-06,Intergenic
RECQL,-2.18173998004501e-05,Promoter
STRADA,1.08790016678812e-05,Intron
PLEKHF1,-6.20801652458646e-06,Promoter
DEPDC4,-2.7528450087268e-07,Promoter
CRTC3-AS1,-2.47029532904801e-07,Promoter
NRG2,-9.08350042022406e-07,Promoter
LIG3,5.20118826166321e-06,Intron
TRIM55,-9.73824852864973e-07,Intergenic
RELA,9.15966243852791e-08,Promoter
GNS,2.02782714776208e-06,Promoter
XXYLT1,9.02418663874513e-06,Intron
IFRD2,1.05946748214143e-05,Promoter
SPG21,-1.32163935523949e-05,Promoter
TMC3-AS1,-6.59639210903594e-07,Promoter
ZSCAN32,-1.93625694941926e-05,Promoter
ZNF24,-1.92364754877488e-05,Intron
POLR1D,-7.21334506455307e-06,Promoter
TRMT61B,3.72166754626835e-06,Promoter
LDLRAD3,7.3216653845315e-06,Intron
EGFR-AS1,-2.61682388041246e-07,Intergenic
PRRC1,1.36175201626974e-06,Promoter
PTK2B,-7.8193545378931e-06,Intron
FHOD1,3.66016569328732e-07,Intron
SYBU,-1.3854828118506e-05,Promoter
INTS6-AS1,-1.62989757497209e-07,Promoter
AQR,-6.03862387631224e-06,Promoter
KLF3,1.81856161245595e-06,Promoter
DRD4,-3.71865581727035e-07,Intron
GTF3C5,3.42637050194199e-06,Promoter
ATIC,-3.58791582546029e-05,Promoter
SLC25A10,2.43012994951581e-06,Promoter
CAP1,1.51038169687699e-06,Promoter
EXTL3-AS1,7.05552550851936e-07,Intergenic
TELO2,1.166850645457e-05,Promoter
KLF2,7.58110860477704e-07,Promoter
HAS2,-4.47133622488341e-06,Intergenic
PPFIBP1,1.21388060812216e-05,Promoter
ZFAND5,-1.34849530433165e-05,Promoter
CDKN2D,3.80186675287664e-07,Promoter
MPLKIP,3.10233403382597e-06,Promoter
CCDC12,-2.2100288318639e-06,Promoter
ENOX2,5.50504590881356e-06,Promoter
PGM2L1,2.57316867341127e-05,Promoter
ZNF318,6.3875824161109e-06,Promoter
LAMC1,-2.70597612858729e-05,Promoter
NUDT7,-3.04306945146125e-06,Promoter
NUTM2B-AS1,-4.26305745059683e-06,Promoter
PPL,-7.09595948993793e-06,Intergenic
CNTRL,-5.47138983720968e-06,Promoter
DLG4,3.94558076353263e-07,Promoter
CAPN5,4.88425805122702e-07,Promoter
GPN3,-1.64686067353321e-05,Promoter
DPYSL2,-9.48078887599352e-06,Promoter
PCK2,1.04197460025857e-06,Promoter
PAXIP1,-9.96870049147853e-06,Promoter
COX19,-8.97813196070881e-06,Intron
PAQR8,-4.25362792867939e-07,Intergenic
CFAP20,-1.27612395566766e-05,Promoter
CDC42BPG,-6.87631638663002e-06,Intergenic
TXNL4A,-9.50464280521093e-07,Promoter
ID4,1.61490531703053e-06,Promoter
RFXANK,1.76239337147379e-06,Promoter
PRKG2,1.70055633562872e-06,Intron
GMFB,-1.79929939367337e-05,Promoter
ATP6V0C,-2.05599591979471e-06,Promoter
KANSL1L,6.1781352440479e-06,Intron
EDA,2.47784160656742e-06,Promoter
TMBIM1,-8.98307155550087e-06,Intron
EMSY,1.12396092101449e-05,Promoter
WDR31,9.91160817509519e-07,Promoter
SH2B2,-5.53101736550971e-07,Intron
ANKRD17,3.54254382913758e-05,Promoter
TIMM44,-3.8616041729171e-07,Promoter
SECISBP2,1.0558585347794e-05,Promoter
EXD2,1.41336123403179e-05,Promoter
ELK3,6.77699887992122e-08,Intron
RRP12,3.64275064338556e-05,Intergenic
UNG,3.62954884250988e-06,Promoter
STXBP2,2.68075309218845e-07,Intron
CCDC186,-1.00722245461465e-05,Promoter
CFAP43,-4.44197528611209e-07,Promoter
E2F7,2.481991926528e-06,Promoter
PHLDA1,2.62264083286529e-05,Intergenic
ADNP,-7.02730898339458e-07,Promoter
ZMAT5,-2.22978616530878e-06,Promoter
TMEM242,3.8999698783398e-06,Intergenic
SDF4,-3.40159941671697e-06,Promoter
CENPU,-1.91559320908378e-06,Promoter
EIF2B1,3.86487476833163e-05,Promoter
TPK1,5.75595701825565e-06,Promoter
POLR2H,-3.54085713263469e-06,Promoter
PLOD3,1.87554998433905e-05,Promoter
RALB,-8.84903648600247e-05,Promoter
ACER2,2.60618018468217e-06,Promoter
MAPRE3,3.70632830463039e-06,Promoter
EBLN3P,-2.92938123213764e-06,Promoter
STOM,-1.83097721799506e-05,Promoter
BRSK2,4.82832392139333e-06,Intergenic
LYPLA1,0.0002385765139724,Promoter
PTPN23,2.89141888658592e-06,Intron
ADAMTS7,4.75141393423648e-06,Promoter
CLSTN1,2.41330103329565e-06,Intergenic
ALG12,6.37269794811884e-06,Promoter
ZFP91,9.65151349330249e-05,Promoter
RABL2A,3.34136152249264e-06,Promoter
SMC3,-1.13973942134998e-05,Promoter
STRADB,4.90373344762762e-06,Promoter
EML4,1.88860942811549e-05,Intergenic
UBE2N,2.95727435884962e-07,Promoter
MIR4453,-2.75203028058059e-06,Promoter
CFAP36,-5.94816964685941e-07,Promoter
ASAP2,5.59597151205617e-06,Promoter
SCN9A,-1.53652688917259e-05,Promoter
C1GALT1C1,-1.05924274513819e-05,Intergenic
PDCD6IP,-1.86654357275957e-05,Promoter
ERICH1,6.21745221357509e-08,Promoter
CALCOCO1,-1.98596290439393e-06,Promoter
NKIRAS1,1.21983634849729e-05,Promoter
PLEKHA1,-5.27492312724828e-06,Promoter
LTBR,-7.41278145979672e-06,Intron
SNX11,-3.40650248103459e-06,Promoter
PSMB10,3.84297951282518e-06,Intron
JAG1,1.03337924316289e-05,Promoter
SLC25A33,2.64728284090415e-06,Promoter
CTU1,4.32761650721854e-06,Promoter
IDH3A,-2.16318121575338e-05,Intron
RALGAPA2,4.74682803006575e-06,Promoter
EFHC1,2.56447437201008e-07,Promoter
DMWD,-3.28215980712636e-06,Promoter
DPP9,-6.54380702612771e-06,Intron
ZXDC,4.61733097506043e-06,Promoter
TUBA1A,2.23829473366833e-05,Promoter
RAB28,-1.42410464337985e-05,Promoter
HIVEP1,8.4043530347762e-06,Promoter
GRHL3,-3.08835733811079e-06,Intergenic
DUSP1,1.54881144316569e-05,Promoter
DANT1,9.98723459327176e-08,Intron
CFAP206,2.09026196833486e-07,Intron
MTA2,8.11863488720645e-06,Promoter
SIGMAR1,1.91500964857153e-05,Promoter
CNIH3,-7.49819678005959e-07,Intron
P2RY6,5.55578555071729e-06,Intron
CPEB2,-3.02052246088898e-06,Promoter
EXOSC8,-2.90666492774262e-06,Promoter
ALG6,2.49876020899265e-06,Promoter
ACADSB,6.17856320610953e-08,Promoter
TRAPPC9,3.85923456051342e-05,Intron
RBM47,4.14718385414092e-08,Intron
ZKSCAN2,3.99247035463004e-06,Promoter
PIAS1,-9.55490395143273e-06,Promoter
RPGRIP1L,-2.26737336350787e-05,Promoter
HOGA1,-6.00396060152626e-06,Promoter
PCYOX1L,1.0435552054765e-05,Promoter
WASF2,9.40358977201904e-06,Intron
FBXO31,1.61553420329726e-06,Promoter
CASP8AP2,-2.32953067750779e-06,Promoter
KANSL3,1.10085195332782e-05,Promoter
MRPL24,1.91589523284108e-05,Promoter
CISD1,1.81934838539143e-06,Promoter
UBE2E3,-1.4136019738182e-05,Promoter
LHFPL2,-2.86527395308113e-05,Intergenic
AGFG2,-2.75109035168869e-05,Intron
GPR37L1,-3.55304849731654e-07,Intergenic
PLCG1,2.31087086223303e-05,Promoter
PSMA4,-1.01162809337831e-05,Promoter
PHF8,8.20636429240235e-06,Promoter
TECPR1,4.9505955534887e-05,Promoter
PPA2,-1.01464014526654e-05,Promoter
FANCA,4.83863711176767e-06,Promoter
MAOA,-5.64080405432412e-07,Promoter
SIK1,9.49324214007834e-06,Promoter
KLF6,6.71897072761609e-05,Promoter
SLC19A2,-5.71922089622355e-05,Promoter
DNAJC10,-1.22253919179528e-05,Promoter
USP1,-2.30081864010177e-06,Promoter
CAMTA2,5.17492762197939e-06,Promoter
SEMA4F,6.9010141139701e-06,Promoter
NFKBIZ,1.71148167136517e-05,Promoter
AFF1,2.79960392013173e-06,Promoter
KLHL22,-8.23382122356939e-06,Promoter
ANP32B,-1.4262852716411e-05,Promoter
SPDYE1,1.67329603485307e-06,Intron
ROCK1,-1.51105886580527e-05,Intergenic
CD163L1,7.62669940967335e-07,Intron
ZNF843,-1.95010596530553e-07,Promoter
NUDT6,3.95487006001657e-06,Promoter
OFD1,-6.99698288692545e-06,Promoter
FAM167A,7.60244564034834e-06,Intron
ZNF697,3.97004266988236e-06,Promoter
FAM117B,-3.18390695443215e-06,Promoter
MN1,-6.09916011094521e-07,Intergenic
ZER1,7.12989425759751e-06,Promoter
CHSY1,4.57892711902786e-06,Intron
CROCC,1.78943912020978e-06,Intergenic
ITGB6,2.39858038325807e-06,Intergenic
EHBP1L1,-3.73548235355438e-06,Intron
TXNDC11,8.51244904857435e-06,Promoter
BAZ2B,-1.62886333676289,Promoter
CNEP1R1,-7.17893483223398e-06,Promoter
BRPF3,9.02356496857699e-06,Intron
HDAC8,-3.30236056499962e-07,Intron
PIM2,7.68769508559835e-06,Intron
PPFIBP2,-2.39065567210648e-05,Promoter
ATOX1,7.59933777124428e-06,Promoter
TMEM242,3.8999698783398e-06,Intergenic
AASDH,4.89920492048073e-06,Intron
DLGAP5,-1.69051881878643e-05,Promoter
RGS3,5.26677277047572e-06,Intron
SUV39H1,3.44109351782966e-06,Promoter
CRLF3,3.93543104263648e-06,Promoter
SLCO3A1,6.36628804396282e-06,Promoter
SLCO3A1,6.36628804396282e-06,Promoter
ABCA7,4.23813907160682e-06,Intron
METTL3,-4.68872661853325e-06,Promoter
DANT1,9.98723459327176e-08,Intron
TBRG4,1.32857128333372e-05,Promoter
ATP6V1G1,-5.09661090701518e-06,Promoter
EML1,1.82294505230676e-05,Intron
EGFR,-3.99267632704011e-06,Intron
ISCU,-1.25320883536951e-05,Promoter
ELP2,1.64469603094037e-06,Promoter
PMEPA1,-0.305969878349363,Intergenic
SERGEF,-7.08409623337327e-06,Promoter
CDON,-1.06755652148263e-05,Intergenic
RBM27,-6.05396361235124e-06,Promoter
CDK2AP1,-7.20961099110204e-06,Intron
B3GNT7,-1.76518947382541e-06,Intergenic
STK38L,1.11403566640437e-05,Intron
SMC2,-2.41750214151756e-05,Promoter
INIP,-4.46913635474615e-06,Promoter
TMPRSS5,-1.9316497238513e-06,Intron
HIBADH,-1.46032142280272e-06,Promoter
CSRP2,3.67662206784939e-06,Promoter
UBAP2L,1.85541859827926e-05,Promoter
RBM4B,1.64731037748494e-06,Promoter
SLC24A1,6.66181365998097e-06,Promoter
NFATC2IP,-6.14348161944336e-06,Promoter
MIS12,-1.8661885582982e-05,Promoter
TRAPPC9,3.85923456051342e-05,Intron
SNHG19,2.70156563268292e-06,Promoter
ARF3,-2.86832738773541e-05,Intron
COPG1,1.22790153149395e-05,Promoter
SRI,6.73760926117124e-06,Promoter
P2RY2,7.59982463960404e-06,Promoter
INTS8,2.77823267344078e-06,Promoter
HSDL2,4.55633497561713e-06,Promoter
CHEK1,-3.14671536992552e-06,Promoter
LONRF1,1.85396103955374e-05,Promoter
METRNL,4.76090530269541e-07,Intergenic
UROS,7.6341908181802e-06,Promoter
NPHP4,-6.98799009105225e-06,Promoter
ZFYVE28,7.44105100771903e-07,Intron
RMDN2,-6.80153720127254e-06,Promoter
MAN2A2,6.53110880846637e-06,Promoter
MRPL55,-1.11051615749066e-06,Promoter
MAD2L1BP,1.71684552761026e-06,Intron
ISG20L2,-3.67537782543891e-06,Promoter
MTOR,1.58761623248221e-05,Promoter
GKAP1,-2.1694945966911e-06,Promoter
TAGLN2,-4.35162824917656e-06,Promoter
PIK3R1,-1.22040724255198e-05,Promoter
RANBP1,-1.06435907700319e-05,Promoter
TMEM185B,1.55269134945301e-06,Promoter
EYA2,4.55571329890533e-06,Intron
SLC25A13,-1.10032142469313e-06,Promoter
CYSRT1,-1.64154799538182e-08,Intergenic
IPO11,-8.53825798696558e-06,Promoter
TFDP1,4.00313195181182e-06,Promoter
TANC2,1.99356107795759e-05,Promoter
PIM1,-8.32778539077468e-06,Intergenic
GRHL1,4.63909032315591e-07,Promoter
KIAA1328,1.19316078525398e-06,Promoter
HMGN2,7.58315634472203e-06,Intergenic
ETV3,-1.09504255326925e-05,Promoter
ZBED5,2.59392571115084e-06,Promoter
TRNT1,2.19987697396456e-06,Promoter
UQCRC2,-1.80881384491705e-05,Promoter
SNRNP25,3.19540536944521e-06,Promoter
AQP7,-2.35685813998299e-06,Intergenic
ARHGAP27,3.10992617914387e-07,Intron
CFDP1,4.79839162848191e-07,Promoter
RALA,-2.2596058264375e-06,Promoter
TSPAN2,1.29836574542837e-06,Intergenic
DDX50,-6.31036877523555e-07,Promoter
TESK2,2.2462705261565e-07,Promoter
ROBO3,2.4864753481527e-06,Promoter
ZNF385A,3.26282472051705e-06,Intron
PLEKHA3,4.4933782687208e-06,Promoter
HCG25,-8.91315528832121e-08,Promoter
USP14,-9.8112800994556e-06,Promoter
PARVA,1.27772820207019e-05,Intron
S100A13,3.46096279878301e-07,Promoter
BCYRN1,3.3610397080159e-06,Intron
CLPX,1.99039305247549e-06,Promoter
FAAP20,5.60514618324014e-06,Promoter
ACTR10,-8.62880566276485e-06,Promoter
CD46,7.21519523047908e-06,Promoter
CYP26B1,1.09805033432536e-05,Intergenic
TRIOBP,7.44659301556017e-06,Intron
ITPKC,-3.14780501552579e-06,Promoter
PHF6,-1.29255642108358e-06,Promoter
RC3H2,-2.84356410726663e-05,Promoter
ERRFI1,2.94478831361698e-07,Promoter
MERTK,-1.51950116420743e-06,Promoter
KYAT1,-1.5646751152823e-06,Intron
OPHN1,-2.09679020783398e-06,Promoter
DHX8,-1.53021955393027e-05,Promoter
PLBD2,-2.94761945603e-06,Promoter
SUPT3H,-2.66802613586919e-06,Promoter
DYNLL1,-1.18111870088943e-05,Promoter
RTKN,6.09236551892528e-06,Promoter
SMAP1,-2.09875048711153e-06,Promoter
ACTR2,-2.61616779637729e-05,Intron
SEMA4F,6.9010141139701e-06,Promoter
TBCK,-4.88784202998664e-06,Promoter
SERP1,4.11105821766464e-05,Promoter
VARS2,-6.39774479133293e-08,Promoter
SMOX,3.44996030873955e-05,Intergenic
FAM3C,1.11161461593817e-05,Promoter
ABCC5,7.96271148269788e-06,Promoter
XRCC1,2.28266783923389e-05,Promoter
CLSPN,-1.37285054363531e-06,Intron
KCNK3,-4.41291753914917e-06,Intron
ARFIP1,-1.93351101508888e-05,Promoter
C7orf25,-1.04165738245653e-07,Promoter
RALGPS1,-1.33510356527374e-06,Promoter
ZC3H14,1.29144918345188e-06,Promoter
HCG25,-8.91315528832121e-08,Promoter
PCMTD2,2.09856407553714e-05,Promoter
RPL36AL,0.0003084842927958,Promoter
MKNK2,-2.88180859669828e-07,Intron
VAMP4,6.01381594905542e-06,Promoter
NT5DC3,-3.58215221222919e-06,Promoter
SDHA,4.39311606587811e-06,Promoter
LMAN2,-2.66877006248713e-05,Promoter
EYA3,5.41385825840639e-06,Promoter
CYSTM1,-7.61587846394201e-06,Intron
CACNB3,5.91555012919823e-06,Promoter
CASP2,-3.03489423754016e-06,Promoter
DNAJB12,3.45117388778778e-05,Promoter
PLEKHO2,6.82531956730431e-07,Intergenic
JMJD1C,3.48089502304686e-06,Intergenic
ASAP1,1.05721058521694e-05,Promoter
GTF2H4,7.27821373863775e-08,Promoter
C1orf159,3.56333682503623e-06,Promoter
DDX12P,-2.04458418442828e-06,Promoter
LMBRD1,-1.23530114345597e-05,Promoter
EDN2,-2.40988496912072e-07,Intergenic
ANO1,5.50541349099291e-07,Intergenic
TEP1,1.41661075390098e-06,Promoter
SERTAD2,-2.73243629969035e-06,Intron
KMT2A,2.87422963716814e-05,Promoter
SYNRG,1.48066634246805e-05,Promoter
JARID2,-8.72721145036247e-09,Intergenic
TMTC4,8.85461172433579e-06,Promoter
TEX264,-1.99697128644769e-05,Promoter
F3,1.2556984790049e-06,Promoter
TXN2,-1.82124725166369e-05,Promoter
C6orf120,3.70542845710158e-06,Promoter
PSEN2,6.93644030899498e-06,Promoter
EOGT,7.1217089168221e-06,Intron
TP53RK,6.09788520423319e-06,Promoter
PPP1R3C,-1.27062007063166e-05,Promoter
NOTCH1,-5.21204044913137e-06,Promoter
PTPRH,-3.48730393634432e-06,Intron
ADCK1,4.73513753996938e-06,Intron
FLYWCH1,-2.27611560019491e-06,Intergenic
IER5,-1.85981294909913e-05,Promoter
MED13L,3.40814820947385e-06,Promoter
EIF2D,3.12278441252831e-06,Promoter
RHOC,-8.82911650520711e-06,Intron
MAP3K12,-1.31730666131551e-06,Intron
LEKR1,-1.56089920784874e-07,Promoter
CACUL1,-0.282288420716142,Promoter
SREBF1,4.67514733771473e-06,Intergenic
PARPBP,-9.09484790485874e-06,Promoter
RAB8B,6.53236543603714e-06,Promoter
HERC2P3,1.51873614310615e-06,Promoter
BDH1,4.68401950508663e-06,Intron
FAAP20,5.60514618324014e-06,Promoter
TBC1D9,-9.6572103843427e-06,Promoter
TTLL6,-3.70877768985196e-06,Promoter
EFR3B,3.60772110505903e-06,Intron
PIN4,8.18681201521924e-06,Promoter
DHX34,-1.28002769114122e-05,Promoter
TRIM11,2.40715970989562e-06,Promoter
MAPK8IP3,1.87292918031388e-05,Promoter
PROZ,5.38692858709731e-07,Intron
TCFL5,9.21834654912599e-06,Promoter
TRIM23,-6.44445239109732e-06,Promoter
SESN1,-4.681585241456e-06,Intron
ZNF862,9.93541902497878e-07,Promoter
ZNF469,-7.80893349975275e-07,Intergenic
TAF10,1.56077106504181e-06,Promoter
TUFT1,-1.28728392450273e-06,Promoter
PHC2,9.36609967654239e-06,Promoter
ANKRD50,-6.75547709254773e-08,Promoter
ZMYND11,-4.17244737730391e-06,Intergenic
ZNF628,-3.6827791414515e-06,Promoter
ZNF692,1.32867344282155e-06,Promoter
CENPI,3.48324772648167e-06,Promoter
PPP3CC,-1.81495620807193e-06,Promoter
RBPJ,-1.85788658223424e-05,Promoter
CSNK2B,-3.0916064078371e-07,Promoter
SCO1,-5.16972864882769e-06,Promoter
EEFSEC,5.09903185794643e-06,Promoter
ATP6V0C,-2.05599591979471e-06,Promoter
ZNF644,-9.08852842896204e-07,Promoter
BAG6,-7.13681094846959e-06,Promoter
CPOX,-2.04430319319216e-05,Promoter
VARS2,-6.39774479133293e-08,Promoter
ZNF786,5.66945513846688e-06,Promoter
ADGRG1,2.64053377161497e-05,Intergenic
SMPDL3A,8.0806675042321e-07,Intron
ZNF341,-1.80753231972441e-07,Intron
TKFC,-9.61311148532308e-06,Promoter
ZBTB7A,-2.34461944488939e-05,Promoter
TSPAN3,2.66032010417411e-06,Promoter
VEZT,-3.56625314260631e-05,Promoter
PCGF5,-2.25277175638433e-05,Promoter
PGAP1,4.08921832037656e-06,Promoter
BIN1,-6.47966488869017e-06,Promoter
TMA7,5.57493840900299e-07,Promoter
NCLN,1.64660606923494e-06,Promoter
PDLIM7,2.62060353313744e-05,Promoter
ARHGAP1,-4.96311786400596e-06,Promoter
CD300A,-7.66826726955414e-07,Intergenic
EPAS1,1.84088272560647e-05,Intron
STAG3L5P-PVRIG2P-PILRB,2.50791919327821e-06,Promoter
RAP1B,6.51503228115333e-06,Promoter
BATF3,-3.67206077567482e-06,Intron
SPAG5-AS1,4.26818916744953e-06,Promoter
AP5Z1,8.87234724913079e-06,Promoter
MAP2K1,-9.60797178379343e-05,Promoter
SRSF1,-1.30395855691075e-05,Promoter
TMTC2,9.56619439818364e-08,Promoter
SPIN4,6.10138369872151e-06,Intergenic
YKT6,9.59769767262802e-07,Promoter
NGRN,-2.11170028784739e-06,Promoter
SBF2,5.78964703374789e-07,Intron
PRDM11,-5.71913783252902e-06,Promoter
PSMC3,1.40667370672493e-06,Promoter
DLX4,-5.09238899626457e-06,Promoter
PPP1R11,-1.06904125189336e-05,Promoter
DEPDC1B,2.9385904523838e-06,Intron
CYB5D2,-3.74043142008084e-06,Promoter
ARHGEF26,9.46662233195522e-06,Promoter
GLIS2,1.04205335469371e-06,Promoter
ARHGAP23,9.42414645552066e-08,Intron
BAX,-1.04021140005232e-05,Promoter
TBX3,-3.67621041939544e-07,Intergenic
RAB36,4.205603848361e-06,Promoter
TMEM14B,-2.56651182282671e-06,Promoter
WDR17,-3.76680086384079e-07,Promoter
FOXO3B,5.83324227490436e-06,Promoter
GRK5,4.45362399118242e-06,Promoter
FOXK2,-3.33645996244465e-06,Promoter
GAA,1.12023192944699e-05,Promoter
NDUFAF3,1.74041196832294e-06,Promoter
SNORA79,2.47667927892339e-07,Intergenic
SPSB3,1.7667296936137e-06,Promoter
NENF,9.11559871917312e-06,Intergenic
SLC30A1,-3.85788604874389e-06,Promoter
PCAT7,5.33078827183217e-07,Promoter
VPS50,4.46462561163304e-06,Promoter
CNIH4,9.23267764918322e-06,Promoter
CDC42EP2,1.24521315010453e-07,Intron
SYT17,2.30149505820654e-06,Promoter
PPFIA1,2.81759782787555e-06,Promoter
ITFG1,-1.39138222852805e-05,Promoter
KATNAL1,-1.52968954294047e-06,Promoter
CDK10,1.15587851209854e-05,Intron
PPP1R11,-1.06904125189336e-05,Promoter
B4GALT1,-4.4044556945302e-06,Promoter
DCAF4,1.13911448488164e-06,Promoter
MPV17,-2.58618543542092e-06,Intron
BIN3,-3.04854638858104e-06,Intergenic
HECTD1,-3.33916276563676e-06,Promoter
GABBR1,7.14839058140394e-06,Promoter
DHRS7,5.038597185268e-07,Intron
NUDT19,2.96958636050848e-06,Promoter
EIF3B,-6.1544911138064e-06,Promoter
GDF6,9.20624946515982e-07,Promoter
TMEM59,-4.36234012069222e-06,Promoter
SS18,4.51029141276879e-05,Promoter
DDOST,-6.39717533551979e-06,Promoter
APOM,-2.15637846376932e-06,Promoter
UIMC1,-4.79044160021447e-06,Promoter
SLC30A5,1.21505063107496e-05,Promoter
PTPN11,9.43727262391051e-07,Promoter
HSBP1,9.06864710372411e-05,Promoter
CDH23,-4.24113314884142e-07,Intergenic
BTBD2,-2.02024860071216e-06,Intergenic
RNF157,1.48212678528704e-05,Intergenic
CDC42BPG,-6.87631638663002e-06,Intergenic
PCDH1,3.52368844211324e-06,Promoter
LRRFIP2,-8.40445874329843e-06,Promoter
PRKAR1A,-9.40925002411961e-06,Intron
PKN1,-1.29122701401128e-05,Intron
POLR3E,2.11111176620858e-06,Promoter
GTPBP3,-1.18393160567194e-05,Promoter
RNF135,-6.53262456999204e-06,Promoter
GOLPH3,-1.77678101329976e-05,Intergenic
FAM151B,-5.06629334914048e-07,Intron
YY1,-1.24846905503058e-05,Promoter
ZBTB33,6.39060204479484e-06,Promoter
HHAT,-1.56142245344532e-06,Intron
SLC10A3,-2.86924589014351e-06,Promoter
ESR2,-3.09724832621334e-07,Promoter
LSS,-6.05067074578594e-06,Promoter
EIF3F,3.28617283124835e-06,Promoter
FMC1,-3.00401852509585e-06,Promoter
ZNF362,-2.53838826664045e-06,Promoter
BORA,-2.30879644842568e-06,Promoter
RAN,-1.12619053104283e-05,Promoter
PTMA,-1.1270401909613e-05,Intergenic
HNRNPLL,-1.02174738888487e-05,Promoter
ANKRD55,-1.40408056411926e-07,Intergenic
PLEKHM1,-6.87755490796124e-06,Promoter
CTNNB1,1.80788863738347e-05,Intergenic
TOP2A,7.29793419306754e-05,Promoter
BPGM,-1.02737488393113e-06,Intron
ARHGAP26,-1.38434984115589e-06,Promoter
SLC35A2,-5.69140397393062e-06,Promoter
PXDN,2.79227118730559e-06,Intron
RCOR3,9.40884950448757e-06,Promoter
RAVER1,2.29912323010449e-06,Promoter
KLHDC7A,-2.15501848902546e-06,Promoter
PLLP,1.53844412448694e-06,Intergenic
ZCCHC2,9.9866924867663e-06,Promoter
STRBP,-1.02564870076404e-05,Promoter
DDHD2,-1.10573017078342e-05,Promoter
HECTD2,-1.04268687367102e-06,Intron
